Protein,+s,-s,Q60
CHEMBL2535,97,149,5.72
CHEMBL3181,237,355,6.99
CHEMBL4979,429,648,7.57
CHEMBL4630,808,1224,7.54
CHEMBL4427,176,263,7.06
CHEMBL5071,1022,1541,8.0
CHEMBL2276,573,859,6.88
CHEMBL3776,151,228,6.52
CHEMBL5319,123,188,7.36
CHEMBL1936,525,788,7.27
CHEMBL3788,81,121,7.65
CHEMBL3553,607,918,7.0
CHEMBL5260,91,145,7.2
CHEMBL4070,94,141,7.71
CHEMBL1906,486,733,7.39
CHEMBL5122,108,164,6.99
CHEMBL2007,204,309,7.22
CHEMBL3234,181,273,7.0
CHEMBL3268,126,192,6.1
CHEMBL5067,109,170,5.82
CHEMBL326,128,201,8.54
CHEMBL1966,395,593,6.92
CHEMBL3778,756,1141,7.9
CHEMBL3108645,172,257,5.26
CHEMBL3759,508,762,7.05
CHEMBL1991,409,613,6.65
CHEMBL1955,165,250,7.41
CHEMBL304,436,658,6.76
CHEMBL1850,138,207,6.76
CHEMBL3138,281,427,8.23
CHEMBL2345,163,245,6.7
CHEMBL2527,222,341,7.17
CHEMBL5080,239,369,7.57
CHEMBL5366,168,255,7.17
CHEMBL4501,586,906,7.8
CHEMBL2835,1768,2666,8.39
CHEMBL3650,975,1462,7.24
CHEMBL1795116,122,407,7.0
CHEMBL5971,240,366,7.02
CHEMBL6080,86,248,7.0
CHEMBL2443,98,153,5.02
CHEMBL2146302,325,494,7.22
CHEMBL2413,272,414,7.32
CHEMBL5424,151,227,6.97
CHEMBL3468,185,281,7.17
CHEMBL1875,197,301,8.12
CHEMBL1795186,170,271,6.96
CHEMBL1293289,178,273,6.85
CHEMBL2285,191,290,6.21
CHEMBL1293292,234,375,7.0
CHEMBL4683,133,200,6.8
CHEMBL2169736,145,219,5.12
CHEMBL5855,103,157,8.05
CHEMBL4439,387,584,7.24
CHEMBL5903,97,145,7.22
CHEMBL1075323,84,129,6.14
CHEMBL2216739,98,148,5.61
CHEMBL3858,194,290,6.92
CHEMBL1293194,188,295,7.05
CHEMBL3238,108,163,5.14
CHEMBL4794,963,1456,7.4
CHEMBL3590,125,187,7.16
CHEMBL4607,161,249,8.15
CHEMBL3522,266,404,7.28
CHEMBL3273,107,160,7.62
CHEMBL3392948,187,287,5.72
CHEMBL1968,138,207,6.61
CHEMBL3577,117,176,6.31
CHEMBL3045,253,383,7.34
CHEMBL5491,162,245,7.3
CHEMBL5932,86,132,7.8
CHEMBL4599,229,345,6.74
CHEMBL3836,110,165,6.69
CHEMBL5285,147,220,7.05
CHEMBL5608,101,154,7.75
CHEMBL344,1106,1742,7.7
CHEMBL3157,207,310,8.12
CHEMBL4015,631,952,7.42
CHEMBL1860,142,212,6.53
CHEMBL1075189,107,160,6.46
CHEMBL4478,102,153,6.18
CHEMBL2321613,209,321,6.6
CHEMBL4142,428,658,8.19
CHEMBL3973,453,683,7.83
CHEMBL3009,86,128,7.57
CHEMBL4898,198,296,7.3
CHEMBL2742,586,886,7.58
CHEMBL2007625,712,1074,6.93
CHEMBL2311243,150,225,6.12
CHEMBL5464,131,198,7.4
CHEMBL5555,250,376,7.39
CHEMBL3785,126,194,6.82
CHEMBL4616,492,739,7.6
CHEMBL5669,110,170,7.92
CHEMBL2140,118,389,6.3
CHEMBL5331,178,266,7.54
CHEMBL4018,177,268,7.95
CHEMBL4561,411,632,8.0
CHEMBL4777,292,442,7.31
CHEMBL4805,928,1438,7.4
CHEMBL2998,621,938,7.31
CHEMBL2525,505,765,6.97
CHEMBL3475,103,158,5.7
CHEMBL5407,531,796,8.49
CHEMBL3438,87,131,5.58
CHEMBL3018,156,234,7.42
CHEMBL1980,276,418,5.48
CHEMBL5451,97,145,6.62
CHEMBL1628481,96,144,7.95
CHEMBL6140,509,773,7.66
CHEMBL4017,144,220,7.19
CHEMBL3632452,104,156,5.98
CHEMBL4349,103,155,7.31
CHEMBL2157850,83,124,6.15
CHEMBL3616,92,137,7.53
CHEMBL5804,170,256,5.53
CHEMBL4879459,93,346,6.52
CHEMBL3798,260,389,8.23
CHEMBL5014,110,165,7.29
CHEMBL4527,91,139,7.92
CHEMBL3961,92,139,6.43
CHEMBL3795,261,394,7.0
CHEMBL3508,107,160,7.41
CHEMBL5136,120,181,7.47
CHEMBL4106,82,124,6.8
CHEMBL4430,80,123,6.92
CHEMBL1255126,168,254,5.32
CHEMBL5023,930,1404,8.1
CHEMBL3476,144,239,6.0
CHEMBL2028,289,441,7.28
CHEMBL3132741,84,125,6.26
CHEMBL3638334,166,249,7.48
CHEMBL4306,282,427,6.52
CHEMBL2189117,113,169,7.33
CHEMBL1075319,214,323,7.36
CHEMBL1859,150,225,6.95
CHEMBL5408,182,278,6.8
CHEMBL3529,150,227,6.69
CHEMBL5011,92,143,5.82
CHEMBL2821,106,161,6.51
CHEMBL3830,98,148,7.1
CHEMBL3988583,434,663,6.96
CHEMBL4105864,199,302,7.08
CHEMBL3369,143,215,7.78
CHEMBL3816,115,179,6.46
CHEMBL2083,120,183,6.14
CHEMBL6115,314,470,6.38
CHEMBL1892,125,187,7.7
CHEMBL2728,108,163,5.48
CHEMBL3614,113,172,7.51
CHEMBL5469,112,168,6.21
CHEMBL2593,127,198,7.0
CHEMBL3952,887,1332,7.59
CHEMBL270,1210,1817,7.86
CHEMBL1792,316,473,7.67
CHEMBL4105907,102,156,7.03
CHEMBL1781,148,223,5.89
CHEMBL3351,172,260,7.01
CHEMBL4829,1240,1924,6.7
CHEMBL2319,80,119,6.07
CHEMBL3898,157,244,7.11
CHEMBL4261,158,243,5.46
CHEMBL1804,273,409,8.11
CHEMBL1853,187,291,7.0
CHEMBL1917,183,277,6.89
CHEMBL2208,346,522,6.27
CHEMBL1075104,720,1096,7.77
CHEMBL6009,416,640,7.4
CHEMBL4828,106,159,6.26
CHEMBL5568,82,122,8.28
CHEMBL6167,123,184,8.08
CHEMBL3492,86,129,6.34
CHEMBL4226,267,405,7.08
CHEMBL1908389,263,395,7.77
CHEMBL5719,131,202,7.68
CHEMBL5314,147,224,6.92
CHEMBL1163101,153,233,6.52
CHEMBL4816,108,163,7.35
CHEMBL3820,404,626,6.72
CHEMBL4766,132,491,7.0
CHEMBL4315,197,306,7.72
CHEMBL4767,87,131,7.14
CHEMBL269,828,1242,7.94
CHEMBL3222,326,490,8.05
CHEMBL2008,87,140,7.4
CHEMBL2252,313,473,7.89
CHEMBL274,661,1015,7.96
CHEMBL1800,678,1046,7.6
CHEMBL4649,193,293,8.25
CHEMBL2127,144,220,7.24
CHEMBL4422,128,191,7.16
CHEMBL4581,360,539,6.82
CHEMBL2868,142,214,6.69
CHEMBL4698,106,158,7.14
CHEMBL4653,80,121,8.0
CHEMBL2016,244,366,7.63
CHEMBL1870,89,134,6.51
CHEMBL1811,276,416,7.4
CHEMBL5558,81,123,7.92
CHEMBL5112,179,274,8.19
CHEMBL5936,197,300,6.12
CHEMBL1075284,94,140,7.55
CHEMBL5853,96,144,7.04
CHEMBL5805,182,273,6.68
CHEMBL3119,188,285,6.82
CHEMBL3797,129,193,6.93
CHEMBL5076,161,249,7.92
CHEMBL5102,355,543,6.89
CHEMBL4123,120,181,7.72
CHEMBL3921,97,154,6.1
CHEMBL2001,381,581,7.66
CHEMBL4333,317,495,8.1
CHEMBL2274,90,138,7.64
CHEMBL1293257,137,228,5.42
CHEMBL4641,191,290,6.6
CHEMBL6141,313,485,7.14
CHEMBL402,98,146,8.01
CHEMBL4354,451,689,7.92
CHEMBL3419,102,153,7.02
CHEMBL1946,369,554,8.51
CHEMBL2189110,227,342,7.48
CHEMBL3091268,87,135,5.77
CHEMBL2107,179,271,7.17
CHEMBL3060,84,128,6.06
CHEMBL4329,107,169,8.35
CHEMBL2470,142,213,8.04
CHEMBL2434,324,496,7.3
CHEMBL3774298,98,148,6.75
